"Title","Category","Mission, Purpose, and Organization Description","Contact Information Email","Members","Status","Test ","Attachments","Social Media"
"Heroes United FC","Services, Special Interest, Recreation","Heroes United FC is a monthly soccer camp specifically designed for individuals with Down Syndrome. The sessions last approximately 90 minutes and introduce basic soccer skills that will eventually be developed over the course of a season. Scrimmages will be held at the end of the session, giving the participants a chance to practice their new skills on the field with their friends. Superhero medals will be passed out to recognize players who showed super effort during the session!","msa210003@utdallas.edu","15","Active",,"0","http://heroesunitedfc.org"
"Agaram Tamil Student Association","Art and Music, Cultural, Services, Social","The Agaram Tamil Student Association (ATSA) is an association at the University of Texas at Dallas (UTD) that brings the Tamil community together through social activities, volunteer opportunities, and traditional events. Our mission is to:

1. To empower and to leave an impact on the Tamil community through programs, fundraisers, volunteering, spreading awareness of human rights, and acknowledging our history at The University of Texas at Dallas.

2. To serve as a forum that brings together Tamil students, students affiliated with the Tamil language, and people interested in Tamil together through various social activities, volunteering opportunities, and traditional events.

3. To focus on providing services such as food drives, workshops, and fundraisers while being educational in terms of promoting the culture’s language and arts.

4. To organize events that are welcoming to all, as opportunities to bring together Tamil people.

5. To maintain a respectful and friendly community that Tamil students can feel a part of within The University of Texas at Dallas.

6. To help fellow Tamil students and create an inspiring image to encourage younger Tamil students towards their future endeavors.","dineshka.krishnakumar@utdallas.edu","179","Active",,"0","https://www.instagram.com/atsa.utd/"
"DECA","Academic Interests","DECA is an educational organization that prepares emerging leaders and entrepreneurs in marketing, finance, hospitality, and management in high schools and colleges around the globe.","sindhu.bajjuri@utdallas.edu","52","Active",,"0","https://decautd.wixsite.com/decautd"
"Operation Smile UTD","Services","Operation Smile dreams of a world where no child born with facial deformities suffers from a lack of access to safe surgery. We aim to raise awareness and improve the lives of children in developing nations. Global involvement is important to us. The US is a developed nation and therefore we have the resources to help people in developing countries that do not have access to them. In this way we wish to make a global change by raising money towards this cause through fundraising events. We wanted to start this organization with the intent of becoming a part of our global community with a unified purpose in hopes of making a lasting difference by investing in the future. Through this journey, we would want to create lasting relationships, but also teach people about cultural differences and humanitarian values by opening their eyes to the world around them.","aak190010@utdallas.edu","20","Active",,"0",
"Wind Energy Club","Academic Interests","We are a UT Dallas student organization focused on training the new generation of professionals within the Green Tech Industries. Within this scope, our mission is to aid in the global and national renewable energy transition and the implementation of equitable and transformative solutions. We actively participate in the U.S Department of Energy Collegiate Wind Competition through our competition team ""Comet Wind"", where we compete in the three sub-contests including the design and construction of a small-scale wind turbine.","sxc200106@utdallas.edu","35","Active",,"0","https://linktr.ee/cometwind"
"Global Mobility Club ","Academic Interests","Mission:
The mission of the Global Mobility Club (GMC) at the Naveen Jindal School of Management (JSOM) is to develop globally competent leaders and engage stakeholders to address future business challenges. This is achieved through high-quality learning experiences, and collaborative partnerships with the global mobility industry.

Purpose:
GMC was founded in Fall 2020 to address the growing significance of global mobility in an interconnected business world. The club aims to create a platform for students to explore the global mobility industry, develop essential skills, connect with professionals, and gain international career opportunities. GMC facilitates these goals through initiatives such as webinars, mentorship programs, networking events, and case competitions.

Organization Description:
The Global Mobility Club is a student organization at JSOM, University of Texas at Dallas. It provides a community for students interested in global business and mobility, focusing on leadership development, international collaboration, and professional growth. GMC organizes events like the Joint Academe-Mobility (JAM) series, mentorship programs, and company partnerships to connect members with industry professionals. The club actively contributes to the academic and professional development of its members while promoting the importance of global mobility in today’s economy.","sxg210247@utdallas.edu","5","Active",,"0","https://www.linkedin.com/company/globalmobilityclub/"
"Criminology Graduate Student Association","Academic Interests","The CGSA maintains a three-fold purpose of establishing and strengthening voice, facilitating professional development, and fostering a social network for students invested in the field of criminology. The CGSA seeks to foster a healthy graduate student culture in which students can develop academically as well as professionally, learn, and establish long-lasting relationships with fellow students and faculty. The CGSA will advance contribution to the field through service and scholarly achievement. In pursuit and achievement of these goals, the CGSA at The University of Texas at Dallas will establish a united environment and integrated forum of expression and growth for future leaders in criminology.","robert.geibler@utdallas.edu","40","Active",,"0",
"The Ismaili Muslim Students Association at UT Dallas","Cultural, Social, Religious","IMSA is an organization meant to bridge the gaps between Ismaili Muslim students at UTD and bring them together over several events. We host socials, networking panels, community service events, and mentorship programs meant for the students to gain a sense of belonging on campus and make new friends/connections.","aad190011@utdallas.edu","60","Active",,"1",
"Reptile Club of UTD","[""Services"",""Social "",""Special Interest""]","We are a passionate group of individuals with a love of reptiles, amphibians, and other exotics alike. Our goal is to provide a social interest group, a place for students to get information about exotic animals, and help spread awareness of wildlife conservation, rescue, and care. As an organization our donations and funds will contribute to the organization's events, materials needed, and be donated to Nature's Edge Wildlife and Reptile Rescue in Fort Worth Texas. Making us a mix of social, service, and education as an organization. If you love reptiles/wildlife, or are just curious, come check us out!","bmb180001@utdallas.edu","25","Active",,"1",
"INFORMS at UTD","Academic Interests","Establish a concrete holistic growth for students
Establish a networked society of students, instructors, industry professionals, and corporate professionals to engage in the cross-pollination of ideas jointly
INFORMS at UT Dallas is the student chapter of the international society of the Institute for Operations Research and the Management Sciences at the Naveen Jindal School of Management
Established in 2011 under The Supply Chain Management Program","rachana.mahapatra@utdallas.edu","25","Active",,"1","https://www.instagram.com/informs_utd/"
"Latter-day Saint Student Association","Religious","The Latter-Day Saint Student Association is a group for those students who are members of The Church of Jesus Christ of Latter-Day Saints and any who are interested in learning more about our faith and socializing with those who hold our beliefs. As Latter-Day Saints, we believe that Jesus Christ is our Savior, and that He is the Son of God. We also believe that God continues to speak to His children today, and that he calls prophets to teach His people just like he did in antiquity. We believe that The Book of Mormon is another example of God's words to his children, and that it testifies of Jesus Christ. If you have any interest in learning more about Latter-day Saint beliefs, or just socializing with those of the faith, feel free to come to any of our meetings and activities!

LDSSA hosts weekly scripture/doctrinal classes on campus (with free food) ﻿and meet with those interested in learning our beliefs in a smaller group setting with full-time missionaries. Those interested in more of our church's social events should be aware that most of our activities are off campus and NOT UTD affiliated.","aci210001@utdallas.edu","6","Active",,"1",
"Information Systems Security Association UTD Subchapter","Academic Interests","Our mission statement is to spread cybersecurity awareness and knowledge by exploring the integration of business, IT, and cybersecurity.

ISSA's goals are to promote security education and skills development, encourage free information exchanges, communicate current events within the security industry, and help express the importance of security controls to enterprise business management.

We believe in creating a place where students can explore their talents, share knowledge with each other, and have a place of support.","ajay.amit@utdallas.edu","8","Active",,"0","https://www.utd.ntxissa.org/"
"The Quality Assurance Organization","Academic Interests, Art and Music, Services, Special Interest","Test, Document, Improve'- Quality Assurance Organization is a student organization focused on learning QA practices, bug testing products, and just having a good time breaking (mostly digital) things. QAO tests any student-made project, regardless of medium. We hope to offer hands-on QA experience and provide students valuable feedback on their projects!","ann200006@utdallas.edu","11","Active",,"0","https://www.instagram.com/utdqao/"
"Kesem","Services, Social","5 million children are coping with a parent's cancer diagnosis.
That’s 5 million children at risk of experiencing increased anxiety, emotional isolation, loss of social interest, and/or feelings of hopelessness. And that’s why, at Kesem, we are committed to creating a world where every child who has a parent with a cancer diagnosis or has lost a parent to cancer is never alone. We support these children through and beyond their parent’s cancer with free, fun-filled creative programs and a lasting community.","vxk200058@utdallas.edu","51","Active",,"0","https://www.instagram.com/kesem.utdallas/"
"Accessible Prosthetics Initiative UT Dallas Chapter","Academic Interests,Educational/Departmental, Special Interest, Services","We aim to increase accessibility to prosthetics through education, community engagement, and device development","mid210000@utdallas.edu","230","Active",,"0","https://www.instagram.com/api.utd/"
"CometTHON","Services","The designated name of this organization will be CometTHON at The University of Texas at Dallas and is named in association with other Miracle Network Dance Marathon programs across the nation under the support of Children’s Miracle Network Hospitals (CMN Hospitals).

Mission: To unite the University of Texas at Dallas campus and larger community to support the miracle families of Children’s Health.

Vision: Our vision is to help make a world where all children have the same opportunities regardless of illness or disease.

CometTHON is united under the cause to save the lives of children through various means of financial and volunteer contributions to Children’s Health. Fundraising events will lead up to a yearly dance marathon called CometTHON. All funds raised will be donated to Children’s Health, the organization’s local CMN hospital. CometTHON provides an opportunity for students to connect with Children’s Health and their “Miracle Families” (the families of patients treated at Children’s Health) to further build our partnership and collaborate with the greater Dallas community. CometTHON prioritizes its critical motivation—everything we do is for the kids.","axm230137@utdallas.edu","21","Active",,"0","https://www.instagram.com/utdcometthon/"
"Iranian Student Community","Art and Music, Cultural, Services, Social, Recreation","Through this organization we mean to help Iranian international students at UTD to overcome the initial challenges they might face when they get to United states, and make sure they have enough knowledge and resources to live and work in the U.S. .

Furthermore, via our organization, we aim to host a variety of inclusive and inviting events for Iranian students, fostering connections to both our culture and diverse communities.

Crucially, we aspire to introduce and promote our cultural events and ceremonies through this organization.","zxo220000@utdallas.edu","16","Active",,"0",
"Out in Science, Technology, Engineering, and Mathematics (oSTEM)","Academic Interests, Social, Special Interest","oSTEM empowers LGBTQ+ people in STEM to succeed personally, academically, and professionally by cultivating environments and communities that nurture innovation, leadership, and advocacy.","lxs200030@utdallas.edu","101","Active",,"0","https://www.instagram.com/ostem_utd/"
"Dhunki A Cappella","Art and Music","Dhunki A Cappella is the premier competitive South Asian Fusion A Cappella team of the University of Texas at Dallas. Our repertoire includes classic and modern South Asian songs (Hindi, Telugu, Marathi, Tamil, Malayalam, etc.) arranged with thematically and musically similar English songs. In Hindi, ‘Dhunki’ means ‘spellbound.’ The name also contains the Hindi word ‘Dhun,’ which means ‘tune’ or ‘melody.’ This Hindi name symbolizes this group’s focus on the areas of South Asian music and culture.","dxv210024@utdallas.edu","18","Active",,"0","https://www.instagram.com/dhunkimusic/"
"Jujutsu Club","Club Sports, Special Interest, Recreation","Our organization is a recreational group dedicated to the learning and safe practice of jujutsu, a martial art designed to protect ourselves, and provide healthy exercise through safe practices of self-defense.","edh220001@utdallas.edu","13","Active",,"0","https://www.instagram.com/jujutsu_utd/"
"Medical City Dallas Volunteers Club","Academic Interests","To recruit UTD students and give them exclusive access to Medical City Dallas' volunteer program

To be a community space for active volunteers

To give UTD students the opportunity to gain service hours

To support Medical City's programs by broadcasting events and drives to the greater Dallas area","sxt200060@utdallas.edu","100","Active",,"0","https://mcdvolunteersclub.wixsite.com/website"
"Consulting and Leadership Development Society","Educational/Departmental","Our vision is to create a community that empowers students to become consultants that
are innovators and changemakers. We aim to cultivate a culture of excellence, inclusivity,
and social responsibility, providing a platform where members can learn, collaborate, and
make an impact. We are committed to providing the best resources to students aspiring
to bring change and transform lives through careers in consulting.","adway.raje@utdallas.edu","28","Active",,"0","https://www.instagram.com/utdclds/"
"Lemon Club at UT Dallas ","Services, Social, Special Interest","The purpose of the Lemon Club at UT Dallas is to raise awareness and funds for pediatric cancer research through Alex’s Lemonade Stand Foundation.","sej200003@utdallas.edu","20","Active",,"0","https://www.instagram.com/utdlemonclub/"
"Health Occupations Students of America (HOSA)","Academic Interests, Educational/Departmental, Services, Social","Mission: to empower HOSA - Future Health Professionals to become leaders in the global health community through education, collaboration, and experiences

Purpose: To network with other students interested in healthcare and have the opportunity to compete in state and international level

Description: We offer multiple social, volunteering, and fundraising events every month and second semster we take qualified members for competition at the state and international level.","Krs210011@utdallas.edu","80","Active",,"0","https://utdhosa.wixsite.com/home"
"Association of Brazilian Students","Cultural, Social","The mission of the Organization shall be to bring the Brazilian community to campus and share its cultural values and social events with anyone interested in being part of the organization. Its goal also includes inviting Brazilian/Latinx guest speakers and bring volunteering opportunities to its members.","Jxc220052@utdallas.edu","5","Active",,"0","https://www.instagram.com/utd_abs/"
"XR UTD","[""Special Interest""]","XR UTD aims to provide the UTD community with a social and educational forum to learn about, enjoy, and contribute to the understanding and utilization of virtual and augmented reality technologies.","aru200001@utdallas.edu","5","Active",,"1",
"Friendship Association of Chinese Students and Scholars","Cultural, Services, Social","Friendship association of Chinese students and scholars (FACSS) is one of the oldest and largest student organizations at UTD. Collaborating closely with other organizations at UTD, such as ICP, the main mission of FACSS is to share, promote, and celebrate Chinese culture within the UTD community. At the same time, FACSS also focuses on helping Chinese students and scholars in various aspects, including airport pickup for incoming students.","yxg210005@utdallas.edu","25","Active",,"0","http://www.facss.us/"
"Turning Point USA at UTD","Political","Identify, educate, train, and organize students to promote the principles of freedom, free markets, and limited government. Turning Point USA guides citizens through development of knowledge, skills, values, and motivation, so they can meaningfully engage in their communities to restore traditional American values like patriotism, respect for life, liberty, family, and fiscal responsibility.","pen210000@utdallas.edu","40","Active",,"0","https://www.instagram.com/tpusa.utdallas"
"TTRPG Club (Tabletop RPG)","Social, Special Interest, Recreation","The purpose of this organization shall be: to provide an open and friendly environment for players to engage in tabletop role-playing games and their associated systems and subcultures; to organize events and programs designed to provide UT Dallas students the chance to participate and learn about tabletop gaming; to facilitate and encourage the hobby of tabletop gaming as a meaningful social outlet and pastime.","cade.broddrick@utdallas.edu","46","Active",,"0","https://www.instagram.com/utdttrpg/"
"The American Institute of Aeronautics and Astronautics at UT Dallas","Academic Interests, Educational/Departmental, Special Interest","The objective of the organization is to further, within its locality, the purposes and programs of the American Institute of Aeronautics and Astronautics within The University of Texas at Dallas. The organization shall also raise awareness about the industry and assist engineering students in their advancement in the field of aeronautics and astronautics. It is also the AIAA UT Dallas’s objective to foster the professional development of the students and to support and promote local, regional, national, and international AIAA programs.","jack.finnegan@utdallas.edu","199","Active",,"0","https://www.instagram.com/aiaa_utd/"
"Memories Matter","Academic Interests","Our organization is dedicated to improving the quality of life of older adults afflicted by conditions linked with aging. We achieve our mission through three fundamental pillars: raising awareness, fundraising, and enhancing care.","devaditya.ray@utdallas.edu","25","Active",,"0","https://www.instagram.com/utdmemoriesmatter/"
"For Autistic Empowerment","Services, Social, Special Interest","For Autistic Empowerment seeks to build a supportive community for autistic and neurodivergent students on campus. In our meetings, we discuss a variety of struggles related to autism, as well as our shared ideas for overcoming those struggles and improving ourselves. We then carry those shared ideas to the community in order to help parents, educators, and allies to better understand how to support autistic students.","Sean.Heffernan@utdallas.edu","32","Active",,"1",
"RoboSub","Academic Interests, Educational/Departmental, Special Interest","The goals of RoboSub are to Inspire and challenge students to learn and creatively apply science, technology, engineering, and math to solve real-world problems and strengthen their critical thinking, collaboration, entrepreneurship, and innovation. Build a robotic submarine to compete in inter-collegiate competitions and create and maintain an interdisciplinary community of engineers","fxj200003@utdallas.edu","45","Active",,"0","https://www.instagram.com/utdrobosub/"
"Women Mentoring Women In Engineering","Academic Interests","The purpose of Women Mentoring Women in Engineering is to increase retention of women in the engineering workplace through providing access to long-term and recurring mentoring relationships with women in industry or with graduate students on their respective college campuses.","mxv200022@utdallas.edu","92","Active",,"0","https://www.instagram.com/wmweatutd/?hl=en"
"Pride at University of Texas at Dallas","Social","Pride serves as a safe social forum for members to meet and discuss
thoughts, ideas, and issues concerning sexual orientation and gender identity.","rosa@utdallas.edu","187","Active",,"0","https://linktr.ee/prideutd"
"Novis A Capella ","[""Art and Music""]","We are the oldest and most premier A Capella group at UTD. We are a small group of music lovers who share passion for singing and performing. We perform contemporary songs and perform at events across UTD and the community. ","ixs180018@utdallas.edu","19","Active",,"1",
"Christian Students on Campus","Religious","We are here to help each other grow in Christ through His Word, praying, and enjoying Him with a community of believers on campus.","jonathan.bai@utdallas.edu","35","Active",,"0","https://www.instagram.com/csoc.utd/"
"The American Red Cross Club at the University of Texas at Dallas","Services","The The American Red Cross Club at the University of Texas at Dallas is functioning under the guidance and auspices of the North Texas Region of the American Red Cross of the American Red Cross, hereinafter “region” is considered an extension of that Region/Station rather than an independent Red Cross entity. Guided by the fundamental principles of the American Red Cross and its mission to prevent and alleviate human suffering in the face of emergencies by mobilizing the power of volunteers and the generosity of donors, the The American Red Cross Club at the University of Texas at Dallas will learn, practice and exemplify humanitarian values through mission-related service projects.
Club will plan and coordinate a minimum of three Red Cross mission-related service projects per year. The service projects will focus on blood, fundraising, education and preparedness, International Humanitarian Law, and social engagement.","sapna.vyas@utdallas.edu","72","Active",,"0","https://www.instagram.com/redcross_utd/"
"The Product Base","Academic Interests, Educational/Departmental, Services","The Product Base Club is a student organization club for students to develop a deeper understanding and gain hands-on experience in Product Management through expert sessions,
workshops, and case studies.

Mission: We are on a mission to spread awareness about Product Management to UT Dallas
students.

Vision: Our vision is to help and train UT Dallas students ti be successful Product Managers that
are effective contributors to the company.","rxt220032@utdallas.edu","467","Active",,"0","https://www.instagram.com/theproductbaseclub/"
"Undergraduate Accounting Club","[""Educational/Departmental"",""Academic Interests""]","The Undergraduate Accounting Club is directed towards promoting the knowledge of the accounting profession and preparing future business leaders for career prospects. The club organizes events enabling students to learn more about the accounting profession from faculty members and accomplished accounting professionals including Fortune 500 companies. The club also conducts skill development workshops and networking events, bridging the gap between students and professionals.
","gcs190001@utdallas.edu","51","Active",,"1",
"Laksh Indian Dance Team","Art and Music","Our mission is to keep our culture and background alive through dance.","abhishek.madhavan@utdallas.edu","11","Active",,"0","https://www.instagram.com/utdlaksh/"
"Project Management Club","Academic Interests, Educational/Departmental","The Project Management Club at UT-Dallas aims to promote and encourage Project Management related activities at The University of Texas at Dallas through networking, speaker events, workshops, mock exams, and reviews for professional certifications such as PMP, ITIL. It's a common platform for students interested in Project Management and related fields.","axr230031@utdallas.edu","20","Active",,"0","https://www.instagram.com/utdpmc/?hl=en"
"180 Degrees Consulting","Academic Interests, Services","180 Degrees Consulting is the largest university-based consultancy in the world. Our UTD branch is operated exclusively by students from the University of Texas at Dallas who work together with non-profits to maximize their social impact. At the same time, we develop a generation of future leaders committed to making a difference.","hss210002@utdallas.edu","40","Active",,"0","https://www.utd180dc.org/"
"UNICEF at UT Dallas","Educational/Departmental, Services, Social","We at UNICEF at UTD strive to create a welcoming environment for the members to grow through service and leadership. The club provides volunteering opportunities to help the Richardson community and leave a lasting impact on the UTD community. Through the club, we host fundraising events to raise money for global and local causes on a yearly basis. The club creates a great avenue for individuals to learn about the current events of the world and play a small part in helping the global community. We are looking forward to meeting everyone and creating memories that last a lifetime.","axh2000047@utdallas.edu","38","Active",,"0","https://www.instagram.com/utdunicef/"
"Healthcare Management Association","Academic Interests","Empowering future healthcare leaders through knowledge, innovation, compassionate care, and paving the way for transformative leadership.","ncd220001@utdallas.edu","85","Active",,"0","https://www.instagram.com/utdhealthcareleaders/"
"WinSTEM","Academic Interests, Educational/Departmental, Services, Social ","Win STEM at UT Dallas is a charitable, service-oriented organization aimed at supporting and recruiting ambitious women to pursue STEM careers through building confidence, community engagement, and opportunity guidance.","kristine.narita@utdallas.edu","20","Active",,"0","https://www.instagram.com/winstem_utd/"
"SAP User's Group","Academic Interests, Educational/Departmental","Mission: The mission of SUG is to help students establish a future career in SAP or other enterprise E-Business platforms as a systems user, in IT systems support, in consulting, systems evaluation, or other career opportunities that become available as enterprise systems and SAP evolve.

Vision: The vision of SAP Users’ Group (SUG) at UTD is to educate students through Enterprise Systems and SAP, offer students opportunities to network with industry professionals and help students kickstart a career in Enterprise Systems and SAP.

Organization Description: The SAP Users’ Group (SUG) at UTD was established in August 2004 and has grown quickly ever since. SUG prepares students for careers in accounting, sales, marketing, business operations, computer information technology, and other professions. SUG provides hands-on experience with the SAP software package, helping students get a head start in their careers.","sayleepramod.patne@utdallas.edu","5","Active",,"0","https://www.sapusersgroup.com"
"Institute of Electrical and Electronics Engineers","Academic Interests, Educational/Departmental","The purpose shall be the dissemination of knowledge of the theory and practice of all
aspects of electrical and computer engineering, electronics, radio, allied branches of
engineering or the related arts and sciences, as well as the furtherance of the professional
development of the students.","ANP200002@utdallas.edu","180","Active",,"1",
"UTDesign Makerspace","Academic Interests, Educational/Departmental","The mission of UTDesign Makerspace is to provide an environment of innovation, collaboration, and education where Makers can develop their skills and projects among their peers with access to current and next-generation technology.","sai.peram@utdallas.edu","22","Active",,"0","https://utd.ms/instagram"
"Women Pursuing Law","Academic Interests, Educational/Departmental, Social, Special Interest","Women Pursuing Law's (WPL) goal is to provide resources specifically geared towards empowering women in law, politics, and social justice. In an industry where women face unique obstacles such as gender inequality, WPL will be a source of information, education, and inspiration to help future women and non-binary conforming leaders enter the field with confidence.","sxa200142@utdallas.edu","84","Active",,"0","https://www.instagram.com/utdwpl/"
"Palette Hope","Art and Music, Recreation","Palette Hope is an organization that allows individuals within campuses to receive emotional support and find HOPE through creativity. We are dedicated to providing art supplies as well as safe spaces throughout campuses where art can be used to promote personal growth. With the use of art, we are able to bring topics such as depression, anxiety, substance abuse, eating disorders, and sexual abuse to a wider platform.","axp200141@utdallas.edu","59","Active",,"0","https://www.instagram.com/utdpalettehope/"
"Hindu YUVA at UTD","Art and Music, Cultural, Social, Religious","Mission - To create a platform to protect, preserve, practice, and promote Hindu Dharma. We aim to develop character and leadership skills in our members by emphasizing values such as self-discipline, self-confidence, and a spirit of selfless service to the society.

Vision - Young Hindu Americans carry a great deal of responsibility to share this culture, preserve its meaning, and practice its universal values as the inheritors of this way of life. Hindu YUVA derives its inspiration from this ancient knowledge and understands the mammoth task lying in front of the young Hindu Americans. Hindu YUVA aims to provide a platform to preserve, practice, promote, and protect Hindu Dharma by bringing together Hindu college students and young professionals across the United States.

Description - Hindu YUVA is a student organization dedicated to uniting Hindu youth on college campuses. We provide opportunities for students, staff, and faculty members to understand and practice Hindu Dharma or the Hindu way of life.","pranav.patel3@utdallas.edu","100","Active",,"0","https://www.instagram.com/hinduyuva_utd/"
"Computer Security Group","Academic Interests, Educational/Departmental, Social, Special Interest","The Computer Security Group, The CSG, or CSG; is an organization dedicated to security education and creating a community for security enthusiasts of all levels to share experience and knowledge with each other.","reese@utdallas.edu","128","Active",,"0","https://csg.utdallas.edu/"
"The Drawing Sessions","Art and Music","The Drawing Session is a fine arts club whose purpose is to provide a place for UTD students of all majors to improve their skills through figure drawing and other drawing activities. This club will foster a positive environment for people of all skill levels to participate in.","sxv210058@utdallas.edu","33","Active",,"0","https://discord.com/invite/qAaXsYb6P8"
"Student Tutors Reviving Identity through Volunteerism and Education","[""Academic Interests"",""Educational/Departmental"",""Services""]","STRIVE was founded in 2019 to help underprivileged students in the DFW metroplex have the chance to live up to their true potential. Our initiative first started as a means for Refugee and ESL students to work with select mentors. Our work focused on helping the students overcome language barriers, learn that diversity is indeed accepted, and to think beyond primary education. This initiative was a success as we had a lot of students interested in higher education after various discussions.

Unfortunately, many of them struggled to gain acceptance due to the compounding effects of the language barrier. Without a solid grasp of English, performance in various other subjects takes a significant hit. Based on this dilemma, we decided that it was essential to develop a tutoring program for these students to connect them with tutor-mentors from similar backgrounds who would guide the students and allow them to overcome this barrier.

We see a bright future for these students, and we want to tap into their potential by providing them with one-on-one subject strategy training and educational advice. Our motto is that every student should have the right to succeed regardless of their background. Language should not be an obstacle to success. We currently work with Lake Highlands High School in the Richardson Independent School District (RISD).  Currently looking to expand, we look forward to continuing our mission to eliminate educational disparities.","Zaid.Memon@UTDallas.edu","20","Active",,"1",
"InterVarsity Christian Fellowship","Religious","In response to God's love, grace and truth:
The Purpose of the Chapter is to establish and advance at the University of Texas at Dallas witnessing communities of students and faculty who follow Jesus as Savior and Lord: growing in love for God, God's Word, God's people of every ethnicity and culture and God's purposes in the world.","gcc190002@utdallas.edu","85","Active",,"0","https://www.instagram.com/utd_iv/"
"Inter Collegiate Prayer Fellowship","Religious","Enriching and mentoring the next generation with the Gospel of Jesus Christ and to empower them for the Divine Purpose of God in Worldwide Missions through personal and practical mentoring. We will also focus on making connections and helping our international students get accustomed to their time here.","jxa210037@utdallas.edu","5","Active",,"0","https://www.instagram.com/icpfutd/"
"Girl Up UTD","Educational/Departmental,  Social","Girl Up's mission statement is to empower individuals on UVa's campus to become involved through education, advocacy, public service, and fundraising to allow adolescent girls around the world to reach their full potential. As a campaign of the UN Foundation, fundraising will support Girl Up and UN Foundation programs that directly contribute to the advancement of girls' rights, health, and education in developing countries. All activities of this club support the five core pillars of Girl Up: education, health, freedom from violence, leadership, and the right to be formally counted.","hxb200025@utdallas.edu","3","Active",,"0","https://utdgirlup.wixsite.com/website"
"Pakistani Students Association","Cultural","We organize Pakistani events on campus for the Overseas Pakistanis and those who want to learn about the culture. Our events are educational and cultural, talking about books, poetry and weddings in Pakistan.","aac200008@utdallas.edu","300","Active",,"0","https://psautd.org"
"Society of Asian Scientists and Engineers UT Dallas Chapter","Academic Interests, Social","SASE is dedicated to the advancement of Asian heritage scientists and engineers in education and employment so that they can achieve their full career potential.","shreya.tirumalakumara@utdallas.edu","14","Active",,"0","https://www.instagram.com/sase.utd/"
"Cybersecurity Club","Academic Interests","We host talks from individuals in the cybersecurity industry to show students what a career in cybersecurity entails, and how to break into it","rees@utdallas.edu","100","Active",,"0","https://www.instagram.com/cscutd/"
"Women in Animation at UT Dallas","[""Academic Interests"",""Art and Music"",""Social ""]","The purpose of WIA is to bring together a community of current and future animation professionals to empower and support women, gender queer, and non-binary identifying students in the art, science, and business of animation. WIA's goal is to promote diversity in leadership roles for underrepresented communities and reach 50/50 representation by 2025 in the animation and games industries. ","Payton.Fults@UTDallas.edu","150","Active",,"1",
"League of United Latin American Citizens ","Cultural, Political, Social","The mission of the League of United Latin American Citizens is to advance the economic condition, educational attainment, political influence, housing, health, and civil rights of the Hispanic population of the United States and Puerto Rico.","elena.ymartinezz@gmail.com","34","Active",,"0","https://www.instagram.com/lulacnc/"
"Hearts for the Homeless UTD","Academic Interests, Services, Social","Hearts for the Homeless at the University of Texas at Dallas (UTD) contributes to the health and well-being of one of the most vulnerable populations in our nation with free health screenings, education, and by providing clinical outreach opportunities for students who wish to contribute to our effort.","qnt200001@utdallas.edu","40","Active",,"0","https://www.instagram.com/h4h.utd_/"
"Mantra Lounge","Art and Music, Religious","To promote healthy and conscious lifestyle among all in and around campus.","priyanka.jidagamu@utdallas.edu","5","Active",,"0","https://www.instagram.com/mantraloungeutd"
"Society of Women Engineers","Academic Interests","The Society of Women Engineers (SWE) stimulates women to achieve their full potential in careers as engineers and leaders, expands the image of the engineering profession as a positive force in improving the quality of life, and demonstrates the value of diversity.","avani@utdallas.edu","200","Active",,"0","https://www.instagram.com/sweutd/"
"Hillel","Cultural, Social, religious","Hillel is the home for Jewish life on campus for Richardson students. Hillel is a pluralistic, inclusive corganization that supports students as they continue to develop their Jewish identity during this transformative time in their lives. We meet students where they are, encourage their exploration ofwhat it means to be Jewish, and empower them to create their own Jewish paths","Jonathan.steinberg@utdallas.edu","24","Active",,"0","https://www.instagram.com/hillelutdallas/"
"Women Who Compute","Academic Interests","At Women Who Compute, we are dedicated to the empowerment and advancement of women in engineering and computer science.","axb200114@utdallas.edu","150","Active",,"1","https://www.instagram.com/utdwwc/"
"Molding Doctors at UTD","Academic Interests","As a pre-medical organization, our goal is to empower aspiring physicians to achieve their fullest potential. We are driven by our commitment to fostering a supportive community; one that equips students with the resources, guidance, and opportunities to excel academically, professionally, and personally.","Melaud.Elahi@UTDallas.edu & Aneesh.Malepatal@UTDallas.edu","264","Active",,"0","https://www.instagram.com/utdmoldingdoctors/"
"Phi Alpha Theta","Honor","We are a professional society whose mission is to promote the study of history through the encouragement of research, good teaching, publication and the exchange of learning ideas among historians. We seek to bring students and teachers together for intellectual and social exchanges, which promote and assist historical research and publication by our members in a variety of ways.","tng210002@utdallas.edu","50","Active",,"0","https://www.instagram.com/utdpat/"
"Partners In Health Engage at the University of Texas at Dallas","Political, Social, Services, Special Interest","Partners In Health is a global health and social justice organization dedicated to addressing global health inequities through the provision of high-quality health care to the world’s poorest and sickest communities and through activism for the universal human right to health. Through solidarity with local governments, sister organizations, and community members, Partners In Health aims to provide a comprehensive model of care to provide a cure to injustice.

The mission of Partners In Health Engage at UTD is to support and amplify Partner In Health’s efforts to advance global health equity by building the right to health movement. We work to:
Advocate for policies that enable governments to build functioning health systems
Fundraise to support Partner In Health’s lifesaving programs
Educate the public about global health and the unconscionable injustices faced by marginalized populations.","zxd200006@utdallas.edu","29","Active",,"1","https://pihengageutd.weebly.com/"
